Age,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
59,Research & Development,3,3,Life Sciences,Male,70,1,Research Scientist,Married,3,No,3,1,7,6,3,1,0,0,0,2177
37,Sales,4,4,Marketing,Male,41,1,Sales Representative,Divorced,4,No,3,1,13,2,3,9,8,5,8,2793
29,Sales,1,1,Medical,Female,42,3,Sales Executive,Married,1,No,3,1,11,5,3,11,10,4,1,7918
35,Sales,1,3,Marketing,Female,92,3,Sales Executive,Single,1,No,3,0,10,3,4,10,7,0,8,8789
29,Research & Development,18,1,Medical,Male,86,1,Research Scientist,Single,1,Yes,3,0,4,3,2,4,3,0,1,2389
52,Research & Development,2,3,Life Sciences,Female,89,1,Laboratory Technician,Single,7,No,3,0,6,3,2,2,2,2,2,3212
42,Research & Development,4,2,Technical Degree,Male,58,5,Manager,Married,1,No,3,0,22,3,3,22,17,11,15,19232
59,Human Resources,6,2,Medical,Male,52,1,Human Resources,Married,8,No,3,0,7,2,2,2,2,2,2,2267
50,Sales,1,4,Medical,Female,68,5,Manager,Divorced,3,No,3,1,32,3,2,7,0,0,6,19517
33,Research & Development,14,3,Medical,Male,58,1,Laboratory Technician,Married,5,Yes,3,1,8,2,1,5,4,0,4,2436
43,Sales,16,3,Marketing,Female,80,4,Manager,Married,5,Yes,4,1,22,3,3,17,13,1,9,16064
33,Research & Development,2,2,Life Sciences,Female,39,1,Laboratory Technician,Married,7,No,4,0,13,3,4,9,7,1,7,2707
52,Sales,2,4,Life Sciences,Male,79,5,Manager,Single,1,Yes,3,0,33,2,4,33,7,15,12,19068
32,Sales,4,2,Life Sciences,Female,56,1,Sales Representative,Married,2,No,3,1,6,5,3,4,3,1,2,3931
32,Research & Development,1,3,Life Sciences,Male,62,1,Laboratory Technician,Single,0,Yes,3,0,4,2,1,3,2,1,2,3730
39,Research & Development,1,4,Medical,Female,96,1,Laboratory Technician,Divorced,7,No,3,3,7,1,3,3,2,1,2,2232
32,Sales,26,4,Marketing,Male,100,2,Sales Executive,Married,0,No,3,0,4,2,3,3,2,2,2,4465
41,Research & Development,19,2,Life Sciences,Male,36,2,Research Scientist,Divorced,2,No,3,2,17,2,2,1,0,0,0,3072
40,Research & Development,24,2,Technical Degree,Male,62,2,Research Scientist,Divorced,1,No,3,2,9,3,3,9,8,4,7,3319
45,Research & Development,1,3,Other,Male,70,5,Manager,Married,0,No,3,1,25,2,3,24,0,1,7,19202
31,Research & Development,3,4,Medical,Male,73,3,Research Director,Divorced,9,No,3,1,9,3,3,2,2,2,2,13675
33,Research & Development,5,4,Life Sciences,Female,63,1,Research Scientist,Married,1,No,3,1,2,2,2,2,2,0,2,2911
34,Research & Development,2,4,Life Sciences,Male,84,2,Manufacturing Director,Married,6,No,3,1,13,3,3,11,9,5,9,5957
37,Research & Development,1,2,Medical,Female,83,1,Research Scientist,Married,2,No,3,1,17,2,2,3,1,0,2,3920
45,Research & Development,7,4,Life Sciences,Male,77,2,Manufacturing Director,Married,4,No,3,1,9,1,3,3,2,0,2,6434
37,Research & Development,10,3,Medical,Male,61,3,Manufacturing Director,Divorced,6,No,3,2,17,5,3,1,0,0,0,10048
39,Research & Development,2,4,Technical Degree,Female,64,3,Healthcare Representative,Single,0,No,4,0,20,1,3,19,6,11,8,10938
29,Research & Development,15,3,Life Sciences,Male,60,1,Research Scientist,Single,1,No,3,0,6,1,3,6,5,1,5,2340
42,Research & Development,17,2,Life Sciences,Female,82,2,Research Scientist,Single,3,Yes,3,0,10,1,3,3,2,0,2,6545
29,Sales,20,2,Marketing,Male,45,2,Sales Executive,Divorced,2,No,3,1,10,2,3,3,2,0,2,6931
25,Research & Development,1,3,Life Sciences,Female,62,2,Manufacturing Director,Married,0,No,3,2,5,3,3,4,2,1,2,4898
42,Research & Development,2,3,Medical,Female,56,1,Laboratory Technician,Divorced,0,Yes,3,1,10,4,3,9,6,7,8,2593
40,Research & Development,2,2,Medical,Male,49,5,Research Director,Divorced,0,No,3,1,22,5,3,21,7,3,9,19436
51,Research & Development,1,3,Life Sciences,Male,96,1,Research Scientist,Married,1,No,3,0,1,0,2,1,0,0,0,2723
31,Research & Development,29,2,Medical,Male,71,1,Laboratory Technician,Single,0,No,3,0,6,2,4,5,4,1,4,3479
32,Research & Development,7,3,Life Sciences,Male,100,1,Laboratory Technician,Married,1,No,4,0,5,3,1,5,1,0,3,2794
38,Sales,2,2,Life Sciences,Male,39,2,Sales Executive,Married,3,No,3,1,13,0,3,8,7,7,5,5249
32,Research & Development,2,1,Technical Degree,Male,84,2,Laboratory Technician,Single,4,No,3,0,9,5,3,6,2,0,4,2176
46,Sales,2,3,Technical Degree,Female,75,4,Manager,Married,3,Yes,3,1,28,2,2,7,7,7,7,16872
28,Research & Development,2,4,Life Sciences,Male,79,1,Laboratory Technician,Single,2,No,3,0,5,5,1,0,0,0,0,3485
29,Sales,2,3,Medical,Male,78,2,Sales Executive,Married,2,No,3,2,10,2,3,0,0,0,0,6644
31,Research & Development,23,3,Medical,Male,64,2,Healthcare Representative,Married,0,No,4,1,10,2,3,9,0,7,8,5582
25,Research & Development,5,2,Life Sciences,Male,85,2,Healthcare Representative,Divorced,1,No,3,2,6,2,3,6,3,1,5,4000
45,Research & Development,20,2,Medical,Male,79,4,Healthcare Representative,Married,0,Yes,3,0,21,2,3,20,7,4,10,13496
36,Research & Development,6,3,Life Sciences,Male,47,1,Laboratory Technician,Married,0,No,3,1,16,4,3,15,13,10,11,3210
55,Research & Development,1,3,Medical,Male,81,5,Manager,Single,0,Yes,3,0,37,2,3,36,10,4,13,19045
47,Research & Development,29,4,Life Sciences,Male,88,3,Manager,Married,1,Yes,3,1,10,2,2,10,7,9,9,11849
28,Research & Development,9,3,Medical,Male,94,1,Research Scientist,Married,1,No,4,1,5,3,2,5,2,0,4,2070
37,Sales,6,4,Medical,Male,98,2,Sales Executive,Married,4,No,3,1,7,5,4,5,4,0,1,6502
21,Research & Development,3,2,Medical,Male,100,1,Research Scientist,Single,1,No,3,0,3,4,4,3,2,1,0,3230
37,Research & Development,1,4,Medical,Female,80,3,Research Director,Divorced,2,Yes,3,2,15,2,3,5,2,0,2,13603
35,Research & Development,22,3,Life Sciences,Female,71,3,Manager,Divorced,7,No,3,1,10,6,2,7,7,6,2,11996
38,Sales,7,2,Medical,Female,44,2,Sales Executive,Divorced,1,Yes,4,1,8,3,3,8,0,7,7,5605
26,Research & Development,1,3,Life Sciences,Female,84,2,Manufacturing Director,Divorced,1,No,4,1,6,6,1,6,5,1,4,6397
50,Research & Development,4,1,Life Sciences,Male,96,5,Research Director,Divorced,3,No,3,2,28,4,2,10,4,1,6,19144
53,Research & Development,3,4,Medical,Male,45,4,Research Director,Married,3,Yes,3,3,21,5,2,5,3,1,3,17584
42,Sales,1,1,Life Sciences,Male,99,2,Sales Executive,Married,1,No,4,0,20,3,3,20,16,11,6,4907
29,Sales,2,2,Life Sciences,Male,44,2,Sales Executive,Single,1,No,3,0,10,3,2,10,7,0,9,4554
55,Research & Development,20,2,Technical Degree,Male,37,2,Laboratory Technician,Married,3,Yes,3,1,12,4,3,10,7,0,8,5415
26,Research & Development,11,2,Medical,Male,60,2,Healthcare Representative,Married,1,Yes,3,1,5,3,3,5,3,3,3,4741
37,Research & Development,1,3,Life Sciences,Female,42,1,Research Scientist,Single,1,No,3,0,17,3,3,17,12,5,7,2115
44,Research & Development,24,3,Life Sciences,Male,43,1,Laboratory Technician,Divorced,3,Yes,4,1,19,0,1,1,0,0,0,3161
38,Research & Development,23,4,Life Sciences,Male,82,2,Healthcare Representative,Divorced,9,No,3,1,10,2,3,2,2,1,2,5745
26,Research & Development,16,4,Medical,Male,45,1,Laboratory Technician,Divorced,2,Yes,3,1,5,2,3,3,2,0,2,2373
28,Research & Development,8,2,Life Sciences,Female,66,1,Research Scientist,Single,1,No,4,0,5,3,3,5,3,0,2,3310
49,Research & Development,10,4,Life Sciences,Female,35,5,Research Director,Single,9,Yes,3,0,22,4,3,3,2,1,2,18665
36,Research & Development,3,3,Technical Degree,Male,30,2,Research Scientist,Single,4,No,3,0,10,2,3,8,0,7,7,4485
31,Sales,5,3,Marketing,Female,84,1,Sales Representative,Divorced,1,No,3,1,2,5,2,2,2,2,2,2789
26,Sales,4,4,Marketing,Male,48,2,Sales Executive,Single,1,Yes,3,0,8,0,3,8,7,7,4,5828
37,Research & Development,9,3,Medical,Male,53,1,Research Scientist,Married,1,Yes,3,3,4,3,2,4,2,1,2,2326
42,Sales,26,3,Marketing,Female,77,4,Sales Executive,Married,5,No,3,1,23,2,4,20,4,4,8,13525
18,Research & Development,3,3,Life Sciences,Male,54,1,Laboratory Technician,Single,1,No,3,0,0,2,3,0,0,0,0,1420
35,Sales,16,3,Marketing,Male,96,3,Sales Executive,Married,0,No,3,2,12,3,2,11,9,6,9,8020
36,Research & Development,18,4,Life Sciences,Male,81,1,Laboratory Technician,Married,4,No,3,2,4,2,3,1,0,0,0,3688
51,Research & Development,2,3,Medical,Male,84,2,Manufacturing Director,Divorced,5,No,3,1,13,3,3,4,1,1,2,5482
41,Sales,2,4,Life Sciences,Male,88,4,Manager,Single,1,No,3,0,22,2,3,22,10,0,4,16015
18,Sales,10,3,Medical,Female,69,1,Sales Representative,Single,1,No,3,0,0,2,3,0,0,0,0,1200
28,Research & Development,16,2,Medical,Male,68,2,Healthcare Representative,Single,0,No,3,0,9,2,3,8,3,0,7,5661
31,Sales,7,3,Technical Degree,Male,100,2,Sales Executive,Married,4,No,3,1,10,3,2,8,7,7,7,6929
39,Research & Development,1,3,Medical,Male,48,3,Healthcare Representative,Divorced,0,No,3,3,19,5,2,18,10,3,7,9613
36,Research & Development,24,4,Life Sciences,Female,47,2,Laboratory Technician,Married,7,No,3,1,11,3,3,9,8,0,8,5674
32,Sales,7,3,Life Sciences,Male,91,2,Sales Executive,Married,1,No,3,1,13,3,2,13,8,4,8,5484
38,Research & Development,25,2,Life Sciences,Female,81,3,Research Director,Married,3,No,3,1,19,2,3,10,8,0,1,12061
58,Research & Development,1,4,Life Sciences,Male,32,2,Healthcare Representative,Divorced,2,Yes,3,1,12,2,3,5,3,1,2,5660
31,Research & Development,5,4,Technical Degree,Male,86,1,Research Scientist,Married,0,Yes,3,1,6,4,3,5,2,0,3,4821
31,Human Resources,2,3,Human Resources,Male,62,2,Human Resources,Married,3,No,3,0,9,1,3,2,2,1,0,6410
45,Research & Development,7,3,Life Sciences,Male,97,3,Laboratory Technician,Divorced,1,No,3,1,24,2,3,24,9,9,11,5210
31,Research & Development,2,4,Life Sciences,Male,32,1,Research Scientist,Divorced,0,Yes,3,1,3,2,1,2,2,2,2,2695
33,Research & Development,5,4,Life Sciences,Female,74,3,Manager,Married,6,No,3,2,12,2,3,10,6,8,8,11878
39,Research & Development,10,1,Medical,Male,99,4,Manager,Married,1,Yes,3,0,21,3,3,21,9,11,10,17068
43,Research & Development,10,4,Life Sciences,Female,33,1,Laboratory Technician,Single,0,No,3,0,9,5,3,8,7,1,7,2455
49,Research & Development,1,2,Technical Degree,Female,90,4,Healthcare Representative,Single,7,Yes,3,0,25,2,3,7,1,0,7,13964
52,Research & Development,8,4,Medical,Male,85,2,Research Scientist,Married,2,No,3,0,11,3,2,8,2,7,7,4941
27,Research & Development,5,3,Life Sciences,Female,85,1,Research Scientist,Single,1,Yes,3,0,4,2,2,4,3,1,2,2478
32,Sales,8,2,Technical Degree,Female,65,2,Sales Executive,Married,1,Yes,3,0,13,2,3,13,12,11,9,5228
27,Sales,2,3,Life Sciences,Male,74,2,Sales Executive,Single,1,Yes,3,0,5,3,3,5,4,0,4,4478
31,Sales,7,3,Marketing,Male,73,2,Sales Executive,Divorced,4,No,3,3,13,3,3,7,7,1,7,7547
32,Research & Development,2,4,Medical,Female,74,2,Research Scientist,Single,7,No,3,0,10,0,2,7,7,0,7,5055
28,Research & Development,2,4,Medical,Male,84,1,Research Scientist,Married,5,Yes,3,0,5,4,2,3,2,2,2,3464
30,Research & Development,28,2,Medical,Female,64,2,Research Scientist,Married,1,No,3,2,11,2,3,10,8,1,9,5775
31,Research & Development,7,2,Life Sciences,Female,48,3,Manufacturing Director,Married,1,No,4,1,10,2,3,10,9,8,9,8943
39,Research & Development,7,2,Medical,Male,54,5,Manager,Married,1,No,3,1,21,2,3,21,9,13,3,19272
39,Sales,3,2,Medical,Female,41,2,Sales Executive,Married,4,Yes,3,0,12,3,2,1,0,0,0,5238
33,Sales,10,3,Marketing,Male,46,2,Sales Executive,Single,3,No,3,0,9,6,2,7,7,0,1,4682
47,Research & Development,5,5,Life Sciences,Male,42,5,Research Director,Married,4,No,3,1,21,2,3,3,2,1,1,18300
43,Research & Development,10,4,Life Sciences,Female,82,2,Laboratory Technician,Divorced,1,No,3,1,9,3,4,9,7,0,0,5257
27,Sales,1,1,Marketing,Male,73,2,Sales Executive,Married,0,Yes,3,1,6,0,3,5,4,1,4,6349
54,Research & Development,20,4,Life Sciences,Female,31,2,Research Scientist,Single,3,No,3,0,20,4,2,4,3,0,3,4869
43,Research & Development,7,3,Life Sciences,Female,43,3,Healthcare Representative,Married,8,No,3,1,10,1,2,1,0,0,0,9985
45,Research & Development,8,4,Other,Male,75,2,Research Scientist,Married,9,No,3,2,12,3,3,10,9,9,8,3697
40,Sales,1,2,Medical,Male,57,2,Sales Executive,Married,2,Yes,4,3,6,2,2,4,3,0,2,7457
29,Research & Development,8,4,Other,Male,77,1,Laboratory Technician,Married,1,Yes,3,0,7,4,2,7,7,0,7,2119
29,Research & Development,9,5,Other,Male,30,1,Laboratory Technician,Single,0,No,3,0,4,2,3,3,2,2,2,3983
30,Sales,5,3,Marketing,Female,30,2,Sales Executive,Divorced,1,No,3,3,10,2,3,10,9,1,2,6118
27,Sales,8,4,Marketing,Female,56,2,Sales Executive,Married,1,No,3,1,8,3,3,8,7,0,7,6214
37,Research & Development,5,2,Medical,Male,61,2,Manufacturing Director,Divorced,7,No,3,2,8,2,2,6,2,0,4,6347
38,Research & Development,15,2,Life Sciences,Male,92,3,Research Director,Divorced,0,Yes,3,1,12,3,3,11,10,2,9,11510
31,Research & Development,7,4,Medical,Female,39,3,Manufacturing Director,Single,1,Yes,3,0,11,2,2,11,9,4,10,7143
29,Sales,10,1,Marketing,Female,39,2,Sales Executive,Divorced,1,Yes,3,2,7,2,3,7,7,1,7,8268
35,Research & Development,5,4,Technical Degree,Male,62,3,Manufacturing Director,Single,0,No,3,0,17,5,3,16,6,0,13,8095
23,Research & Development,26,1,Life Sciences,Male,83,1,Research Scientist,Divorced,1,No,3,2,4,2,2,4,2,0,2,2904
41,Research & Development,6,3,Medical,Male,95,2,Manufacturing Director,Single,6,Yes,3,0,8,3,3,5,4,1,2,6032
47,Sales,4,1,Medical,Male,99,2,Sales Representative,Single,3,No,3,0,5,3,3,0,0,0,0,2976
42,Research & Development,23,5,Life Sciences,Female,44,4,Research Director,Single,2,No,3,0,16,2,3,1,0,0,0,15992
29,Sales,2,3,Life Sciences,Male,61,2,Sales Executive,Married,1,No,3,1,4,3,2,4,3,0,2,4649
42,Human Resources,2,1,Technical Degree,Male,52,1,Human Resources,Divorced,0,Yes,3,1,4,5,3,3,2,1,0,2696
32,Research & Development,2,3,Medical,Female,75,1,Laboratory Technician,Married,1,No,3,1,8,4,3,8,0,0,7,2370
48,Sales,29,1,Medical,Female,91,3,Manager,Married,3,No,4,1,15,3,1,0,0,0,0,12504
37,Research & Development,6,3,Medical,Male,51,2,Research Scientist,Divorced,4,Yes,3,2,13,2,3,7,7,6,7,5974
30,Sales,25,2,Technical Degree,Female,85,2,Sales Executive,Married,7,Yes,3,1,4,2,4,2,2,2,2,4736
26,Sales,1,3,Life Sciences,Male,57,2,Sales Executive,Married,1,No,3,1,8,3,3,8,7,7,7,5296
42,Research & Development,2,4,Other,Male,98,2,Healthcare Representative,Single,3,No,4,0,14,6,3,1,0,0,0,6781
21,Sales,1,1,Technical Degree,Female,99,1,Sales Representative,Single,1,Yes,3,0,3,3,3,3,2,1,2,2174
36,Sales,1,5,Medical,Female,45,2,Sales Executive,Single,4,No,3,0,7,6,3,1,0,0,0,6653
36,Sales,3,4,Medical,Male,48,3,Sales Executive,Married,4,No,3,1,16,2,3,13,9,1,12,9699
57,Research & Development,1,4,Medical,Male,88,2,Healthcare Representative,Married,2,No,3,0,15,2,3,3,2,1,2,6755
40,Research & Development,10,4,Life Sciences,Female,46,1,Laboratory Technician,Married,3,Yes,3,1,10,3,3,7,7,1,7,2213
21,Sales,9,2,Medical,Male,39,1,Sales Representative,Single,1,No,4,0,3,3,2,3,2,2,2,2610
33,Sales,5,3,Marketing,Female,34,1,Sales Representative,Single,1,Yes,3,0,1,2,3,1,0,0,0,2851
37,Research & Development,10,3,Medical,Female,98,1,Laboratory Technician,Married,6,No,4,1,17,3,3,5,4,0,3,3452
46,Research & Development,7,4,Medical,Female,30,2,Manufacturing Director,Married,2,No,3,0,7,2,4,1,0,0,0,5258
41,Sales,4,3,Marketing,Male,56,2,Sales Executive,Single,1,No,3,0,8,5,3,8,7,7,7,9355
50,Research & Development,10,3,Technical Degree,Male,100,3,Healthcare Representative,Single,6,No,3,0,20,2,3,4,3,1,3,10496
40,Sales,22,2,Marketing,Male,68,2,Sales Executive,Married,2,Yes,3,2,8,6,3,6,4,1,0,6380
31,Research & Development,9,4,Life Sciences,Male,42,1,Research Scientist,Single,0,Yes,3,0,3,5,3,2,2,2,2,2657
21,Sales,12,3,Life Sciences,Female,90,1,Sales Representative,Single,1,No,3,0,1,0,3,1,0,0,0,2716
29,Research & Development,23,3,Life Sciences,Male,54,1,Research Scientist,Single,9,No,3,0,6,4,3,3,2,1,2,2201
35,Research & Development,9,4,Life Sciences,Male,97,2,Healthcare Representative,Single,9,No,3,0,10,5,3,1,1,0,0,6540
27,Research & Development,1,2,Medical,Male,82,1,Laboratory Technician,Divorced,1,No,3,1,5,2,3,5,2,0,4,3816
28,Sales,9,4,Life Sciences,Male,92,2,Sales Executive,Single,1,No,3,0,7,1,3,7,5,0,7,5253
49,Research & Development,7,3,Other,Male,31,3,Healthcare Representative,Single,8,No,4,0,26,2,3,5,2,0,0,10965
51,Sales,14,2,Life Sciences,Female,87,2,Sales Executive,Married,4,No,3,1,18,2,2,7,7,0,7,4936
36,Research & Development,2,3,Life Sciences,Female,96,1,Research Scientist,Married,4,No,3,1,6,3,3,2,2,2,2,2543
34,Sales,19,3,Marketing,Male,67,2,Sales Executive,Single,8,Yes,3,0,9,3,2,5,2,0,4,5304
55,Research & Development,2,3,Life Sciences,Female,97,4,Manager,Single,2,Yes,3,0,30,2,3,5,4,1,2,16659
24,Sales,10,4,Marketing,Female,77,2,Sales Executive,Divorced,1,Yes,3,1,5,2,4,5,2,0,3,4260
30,Sales,2,1,Technical Degree,Male,72,1,Sales Representative,Married,1,No,3,1,1,3,3,1,0,0,0,2476
26,Research & Development,3,1,Technical Degree,Male,73,1,Research Scientist,Single,0,No,4,0,7,2,3,6,4,0,4,3102
22,Research & Development,11,3,Medical,Female,43,1,Research Scientist,Married,1,No,3,1,2,1,3,2,1,1,2,2244
36,Sales,2,2,Medical,Male,61,3,Sales Executive,Married,1,No,3,2,10,2,3,10,9,9,0,7596
30,Research & Development,4,3,Technical Degree,Male,40,1,Research Scientist,Single,9,Yes,4,0,3,4,3,1,0,0,0,2285
37,Research & Development,14,3,Life Sciences,Female,95,1,Laboratory Technician,Divorced,1,No,3,1,18,2,2,18,7,12,17,3034
40,Sales,2,2,Marketing,Female,46,2,Sales Executive,Divorced,7,No,3,2,8,5,3,5,4,1,3,5715
42,Research & Development,1,4,Life Sciences,Female,95,1,Laboratory Technician,Divorced,3,No,3,1,8,5,3,5,2,1,2,2576
37,Research & Development,10,4,Life Sciences,Male,49,2,Manufacturing Director,Single,2,Yes,3,0,18,2,2,1,0,0,1,4197
43,Research & Development,12,3,Life Sciences,Male,59,4,Research Director,Divorced,1,No,3,1,25,3,3,25,10,3,9,14336
40,Research & Development,2,3,Medical,Female,78,2,Laboratory Technician,Married,6,No,4,1,20,3,3,1,0,0,0,3448
54,Research & Development,5,2,Medical,Male,86,5,Research Director,Married,4,No,3,1,24,4,2,4,2,1,2,19406
34,Sales,4,4,Marketing,Female,72,2,Sales Executive,Married,9,No,3,1,6,3,3,3,2,1,2,6538
31,Research & Development,7,2,Medical,Female,31,2,Manufacturing Director,Married,1,No,3,1,13,5,1,13,10,3,12,4306
43,Research & Development,21,3,Medical,Male,61,1,Laboratory Technician,Married,7,No,4,1,8,1,3,3,2,1,2,2258
43,Research & Development,8,4,Other,Female,74,2,Healthcare Representative,Divorced,4,Yes,3,0,8,3,3,5,2,0,2,4522
25,Sales,4,2,Life Sciences,Female,99,2,Sales Executive,Single,1,Yes,3,0,5,3,3,5,4,1,3,4487
37,Research & Development,25,5,Medical,Female,72,2,Research Scientist,Married,3,Yes,3,2,15,2,3,13,11,10,7,4449
31,Research & Development,1,2,Life Sciences,Male,98,1,Laboratory Technician,Married,1,No,3,1,4,3,3,4,2,3,2,2218
39,Research & Development,1,1,Life Sciences,Male,52,5,Manager,Divorced,1,Yes,3,1,21,3,3,21,8,1,6,19197
56,Sales,6,3,Life Sciences,Female,86,4,Sales Executive,Married,9,No,3,3,36,0,2,7,7,7,7,13212
30,Sales,12,3,Technical Degree,Female,83,2,Sales Executive,Single,0,No,3,0,6,6,3,5,4,4,4,6577
41,Sales,1,3,Marketing,Male,49,3,Sales Executive,Married,1,No,3,1,10,2,3,10,7,0,7,8392
28,Research & Development,17,2,Medical,Male,79,2,Laboratory Technician,Divorced,1,No,3,1,10,2,3,10,0,1,8,4558
25,Research & Development,3,3,Medical,Male,91,1,Laboratory Technician,Married,5,No,3,1,6,5,3,2,2,0,2,4031
52,Research & Development,3,3,Medical,Male,39,3,Manufacturing Director,Married,2,Yes,3,0,28,4,3,5,4,0,4,7969
45,Research & Development,10,2,Life Sciences,Male,69,1,Research Scientist,Married,3,No,4,2,8,3,2,2,2,0,2,2654
52,Research & Development,4,2,Life Sciences,Female,30,4,Manager,Married,2,No,3,0,31,2,1,5,2,1,4,16555
42,Research & Development,29,2,Life Sciences,Female,92,2,Research Scientist,Divorced,2,No,3,1,19,3,3,5,4,0,2,4556
30,Research & Development,2,3,Life Sciences,Female,43,2,Manufacturing Director,Single,2,No,4,0,11,2,3,5,4,0,2,6091
60,Research & Development,7,3,Life Sciences,Female,41,5,Manager,Married,5,No,3,0,33,5,1,29,8,11,10,19566
46,Research & Development,18,3,Medical,Female,87,2,Manufacturing Director,Divorced,2,No,3,1,19,5,2,10,7,0,8,4810
42,Research & Development,28,4,Technical Degree,Female,88,2,Healthcare Representative,Married,0,No,3,3,7,4,4,6,5,0,4,4523
24,Sales,1,1,Technical Degree,Female,62,1,Sales Representative,Single,1,Yes,3,0,6,4,3,5,3,1,4,3202
34,Sales,6,2,Marketing,Female,33,1,Sales Representative,Divorced,0,No,3,1,3,3,2,2,2,1,0,2351
38,Research & Development,2,2,Life Sciences,Male,42,1,Laboratory Technician,Married,1,Yes,4,1,1,3,3,1,0,0,0,1702
40,Sales,2,4,Life Sciences,Female,79,5,Manager,Married,0,No,3,0,21,2,3,20,15,1,12,18041
26,Research & Development,23,3,Life Sciences,Female,90,1,Research Scientist,Divorced,1,No,4,2,3,3,1,3,2,0,2,2886
30,Research & Development,3,3,Life Sciences,Male,53,1,Laboratory Technician,Married,4,No,3,1,9,3,1,5,3,1,4,2097
29,Research & Development,3,4,Medical,Male,93,3,Research Director,Married,1,No,3,0,10,2,3,10,2,0,7,11935
29,Research & Development,25,5,Technical Degree,Female,71,1,Research Scientist,Married,5,No,3,0,6,2,4,2,2,1,1,2546
19,Human Resources,2,2,Technical Degree,Male,52,1,Human Resources,Single,1,No,3,0,1,3,4,1,0,0,0,2564
30,Sales,22,4,Other,Female,69,3,Sales Executive,Married,0,No,3,0,10,3,3,9,8,7,8,8412
57,Sales,29,3,Marketing,Male,56,4,Manager,Divorced,3,No,3,1,32,3,2,1,0,0,0,14118
50,Research & Development,29,4,Life Sciences,Male,88,4,Manager,Married,0,No,3,1,28,2,3,27,10,15,7,17046
30,Research & Development,2,3,Medical,Female,49,1,Laboratory Technician,Single,0,No,3,0,12,2,2,11,7,6,7,2564
60,Sales,28,3,Marketing,Female,80,3,Sales Executive,Married,4,No,3,0,22,5,4,18,13,13,11,10266
47,Research & Development,2,2,Medical,Female,65,2,Manufacturing Director,Divorced,5,No,3,3,20,2,3,5,0,0,4,5070
46,Research & Development,2,3,Life Sciences,Male,51,4,Research Director,Married,6,No,3,0,26,2,1,3,2,0,1,17861
35,Research & Development,22,3,Life Sciences,Male,46,1,Laboratory Technician,Single,0,No,3,0,6,2,3,5,4,4,3,4230
54,Research & Development,8,4,Life Sciences,Female,42,2,Laboratory Technician,Single,7,No,3,0,19,3,3,1,0,0,0,3780
34,Research & Development,2,4,Life Sciences,Male,62,1,Research Scientist,Divorced,3,No,3,1,14,3,3,7,3,5,7,2768
46,Sales,10,3,Marketing,Female,94,3,Sales Executive,Married,2,Yes,3,1,15,3,3,3,2,1,2,9071
31,Research & Development,9,1,Life Sciences,Male,33,3,Manufacturing Director,Divorced,1,No,4,1,13,6,4,13,8,0,8,10648
33,Research & Development,15,1,Medical,Male,56,3,Manager,Married,7,Yes,3,0,15,2,4,7,6,7,7,13610
33,Research & Development,10,1,Medical,Male,38,1,Laboratory Technician,Divorced,7,No,3,3,8,2,3,4,3,1,3,3408
30,Sales,7,1,Marketing,Male,57,1,Sales Representative,Single,0,No,3,0,4,3,3,3,2,1,2,2983
35,Research & Development,16,3,Life Sciences,Male,72,3,Healthcare Representative,Married,4,Yes,3,0,10,2,3,8,7,0,0,7632
31,Research & Development,20,3,Life Sciences,Male,66,3,Healthcare Representative,Married,3,No,3,0,12,2,3,1,0,0,0,9824
34,Human Resources,23,3,Human Resources,Female,43,3,Human Resources,Divorced,9,Yes,3,3,11,2,3,3,2,0,2,9950
42,Research & Development,5,2,Other,Male,97,1,Laboratory Technician,Married,4,No,3,1,8,4,3,2,2,2,0,2093
36,Sales,10,4,Medical,Male,32,3,Sales Executive,Single,1,No,3,0,10,3,2,10,3,9,7,9980
22,Research & Development,4,1,Technical Degree,Male,99,1,Laboratory Technician,Single,5,No,3,0,4,3,3,2,2,1,2,3894
48,Sales,2,5,Marketing,Female,37,2,Sales Executive,Married,2,No,3,1,14,2,3,9,7,6,7,4051
55,Sales,18,5,Life Sciences,Female,83,4,Manager,Single,3,No,4,0,37,2,3,10,9,7,7,16835
41,Sales,10,2,Life Sciences,Male,56,2,Sales Executive,Single,7,No,3,0,16,3,3,14,3,1,10,6230
35,Sales,1,3,Marketing,Male,85,2,Sales Executive,Married,9,No,3,0,15,2,3,11,9,6,9,4717
40,Research & Development,6,3,Life Sciences,Female,75,4,Manufacturing Director,Single,7,No,3,0,22,3,3,20,6,5,13,13237
39,Research & Development,8,1,Life Sciences,Female,48,1,Laboratory Technician,Married,1,No,3,1,8,3,3,8,3,0,7,3755
31,Sales,2,1,Life Sciences,Male,77,2,Sales Executive,Single,4,Yes,3,0,10,2,4,6,5,0,5,6582
42,Research & Development,24,3,Medical,Male,56,3,Manufacturing Director,Married,1,Yes,4,1,10,5,2,10,9,5,8,7406
45,Sales,2,3,Other,Male,61,2,Sales Executive,Married,0,No,3,1,9,3,4,8,7,3,7,4805
26,Human Resources,17,4,Life Sciences,Female,58,1,Human Resources,Divorced,0,Yes,3,1,8,2,2,7,7,1,0,2741
